Signal Match,Name,Designation,Company,Role Hiring For,Source Platform,Job Post URL,LinkedIn Profile URL
High,Kyle Hall,Owner PayKings,PayKings,Inside Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385271129,https://www.linkedin.com/sales/lead/ACwAAFjLcJYBH49_WrQEr8FVKfxBIzFRzKLYb9o
High,Ryan Pallas,Business Development Manager PayKings,PayKings,Inside Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385271129,https://www.linkedin.com/sales/lead/ACwAAAFz2ycBPubHXpnEhGZFWKCo3n-Zz83VaX4
High,padum yadav,Bilaspur  PayKings,PayKings,Inside Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385271129,https://www.linkedin.com/sales/lead/ACwAAFIW8VYBy_Ow5E2bLvVOLOzUZlhjx_NzejI
High,Milan Kumal,Kampani PayKings,PayKings,Inside Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385271129,https://www.linkedin.com/sales/lead/ACwAAGQ4MIABAKLS5wik10Afe5Rs0OdkghH9DmI
High,Junior Basu,Partner PayKings,PayKings,Inside Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4385271129,https://www.linkedin.com/sales/lead/ACwAAEBUKeoBxvxXit7EcZFwdQyqb7wybiUiSuQ
High,Damon Diamantaras,CEO TGS Insurance,TGS Insurance,Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388989989,https://www.linkedin.com/sales/lead/ACwAAA6L874Beue-P88Trgw5fzFnZiBuMhJYiro
High,Michelle McKinney,Chief Financial Officer TGS Insurance,TGS Insurance,Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388989989,https://www.linkedin.com/sales/lead/ACwAAAQZEKkBAlLSd8L4NJY_yy3UkigiYnAvDyg
High,Patrick Gaides,Executive Vice President TGS Insurance,TGS Insurance,Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388989989,https://www.linkedin.com/sales/lead/ACwAAAwqXEkB_AQHgcBqBvYgt0SZFE_tEmny0Mk
High,Carley Kasparek,Human Resources Manager TGS Insurance,TGS Insurance,Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388989989,https://www.linkedin.com/sales/lead/ACwAAAdU4XUBfmrOKIF0xrC7jghD7PDuvLLC8YI
High,Will Berry,Sales Performance Manager TGS Insurance,TGS Insurance,Sales Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4388989989,https://www.linkedin.com/sales/lead/ACwAADnNq8MBhajn4thzH37s7Yh8hlrFWtvXnWs
High,Jerod Venema,CEO LiveSwitch Inc.,LiveSwitch,Account Executive - SMB Markets,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4380905991,https://www.linkedin.com/sales/lead/ACwAAADd3oIBvJiEJNKxq61F0dCfGJY9v9rCPeI
High,Michael Adams,Chief Executive Officer LiveSwitch Inc.,LiveSwitch,Account Executive - SMB Markets,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4380905991,https://www.linkedin.com/sales/lead/ACwAABBQvSEBcBtJu7KjJBcWfoZrz6nDqzwZA4s
High,James Hatfield,Chief Revenue Officer LiveSwitch Inc.,LiveSwitch,Account Executive - SMB Markets,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4380905991,https://www.linkedin.com/sales/lead/ACwAAAEhsowB56xtfT1Waq1wNVkZ7WQp7Z-mjm4
High,Margaret Froneberger,Chief Operations Officer LiveSwitch Inc.,LiveSwitch,Account Executive - SMB Markets,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4380905991,https://www.linkedin.com/sales/lead/ACwAAAxCOigBypAyUTYhNHGWRUOlFCavYXz8lgM
High,Monte Mauney,Chief Human Resources Officer LiveSwitch,LiveSwitch,Account Executive - SMB Markets,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4380905991,https://www.linkedin.com/sales/lead/ACwAAAMuUiUB4irkR8AaTLVg7Yvl5CBzDruAszI
High,Hamid Farooqui,"Co-founder, CEO Sogolytics",Sogolytics,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383012176,https://www.linkedin.com/sales/lead/ACwAAAANHcwB3NX7KWNiVpSs9iK5t-CY4CIrcJc
High,Haris Azmi,Chief Revenue Officer Sogolytics,Sogolytics,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383012176,https://www.linkedin.com/sales/lead/ACwAAAEuMjUBGopHjKkkaWmjmnjIxL1kr09uzQU
High,Samit Rai,Assistant Vice President Sales Sogolytics,Sogolytics,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383012176,https://www.linkedin.com/sales/lead/ACwAAADfgmsBAryt2WhY3AENWsdhkz670B0tiEM
High,Aidan Blair,Senior Business Development Representative Sogolytics,Sogolytics,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383012176,https://www.linkedin.com/sales/lead/ACwAACj1nZIBx53D9prR6S3b4F5o3RvgG5lniCY
High,Aditya Chauhan,Sr. Product Manager  Sogolytics,Sogolytics,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4383012176,https://www.linkedin.com/sales/lead/ACwAABczTOgB8SKkj2BnJS7Y2Eqie7vJp4oOfHo
High,Sarig Duek,Founder Executive Chairman Phytech - Plant-Based Farming,Phytech,Sales Account Executive,Glassdoor,https://www.linkedin.com/jobs/view/4389302536,https://www.linkedin.com/sales/lead/ACwAAAuWmscBuE1aepOOIWlPSZDhMV1bagKrzoM
High,Oren Kind,Chief Executive Officer Phytech,Phytech,Sales Account Executive,Glassdoor,https://www.linkedin.com/jobs/view/4389302536,https://www.linkedin.com/sales/lead/ACwAAAIhuqAB0JdSnpizvjWE6QbbjoEfj8LH4B4
High,Ziv Shpringer,Chief Financial Officer Phytech - Plant-Based Farming,Phytech,Sales Account Executive,Glassdoor,https://www.linkedin.com/jobs/view/4389302536,https://www.linkedin.com/sales/lead/ACwAAAJ6RXsBIh5NubZT2Sl0evVgBNjFjJz44sA
High,"Yoav Yichie, PhD",Managing Director Phytech,Phytech,Sales Account Executive,Glassdoor,https://www.linkedin.com/jobs/view/4389302536,https://www.linkedin.com/sales/lead/ACwAACF7hOsBcygV8fsNa8XF5z-JfPUmlWphbzs
High,Josh Bresler,Director Phytech - Plant-Based Farming,Phytech,Sales Account Executive,Glassdoor,https://www.linkedin.com/jobs/view/4389302536,https://www.linkedin.com/sales/lead/ACwAACYUitkBU5V8QffGuuRo7F1B7BAJCEub0Uc
High,Yaakov Zar,Founder & CEO Lev,Lev,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367460444,https://www.linkedin.com/sales/lead/ACwAAAEYgY8BKD3E1tvu86HrdH_eGuPqxfwgJmI
High,Alberto Sheinfeld,CTO Lev,Lev,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367460444,https://www.linkedin.com/sales/lead/ACwAAAISTAcBNd4bKHu5S2N7BQPwTg_wAkycaIY
High,Ofir Shalom,Sales Director Lev,Lev,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367460444,https://www.linkedin.com/sales/lead/ACwAABzVrLgB5dnJMBSOWjgBhZQoMZOvdJTeTXA
High,Bradley Ha,VP of Sales Lev,Lev,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367460444,https://www.linkedin.com/sales/lead/ACwAAAc0_wQB_Q2V_8vEGI66TO6yyakJ-x-zSMA
High,Dave Bixler,Senior Product Manager Lev,Lev,Account Executive,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4367460444,https://www.linkedin.com/sales/lead/ACwAACVoTi8B3zfOZOhqSJqmPEKDNdZUOnkE-qE
High,Mati Ram,CEO AdScale,adscale,Account Executive (AE) – eCommerce  (US Market),LinkedIn Jobs,https://www.linkedin.com/jobs/view/4363212969,https://www.linkedin.com/sales/lead/ACwAAAFAjC8BTyI4dWosmDraBhm51MQZhb_ACe8
High,Amram Efrat,Member of the Board of Directors easyleads - SEM Optimization Platform,adscale,Account Executive (AE) – eCommerce  (US Market),LinkedIn Jobs,https://www.linkedin.com/jobs/view/4363212969,https://www.linkedin.com/sales/lead/ACwAAAJsuDABD5hS3qM3y0e1fI8jhsJN9azhBIw
High,May Aharonovich,Marketing Director AdScale - Marketing Cloud For E-commerce,adscale,Account Executive (AE) – eCommerce  (US Market),LinkedIn Jobs,https://www.linkedin.com/jobs/view/4363212969,https://www.linkedin.com/sales/lead/ACwAAEDB6fgBXEcjsrKUXyPQKjmCm7VWDJZ_4fo
High,Roni Ram,CTO AdScale,adscale,Account Executive (AE) – eCommerce  (US Market),LinkedIn Jobs,https://www.linkedin.com/jobs/view/4363212969,https://www.linkedin.com/sales/lead/ACwAAADdQ08BBltS7wAWho0FspCfM01KGHnIrBw
High,Jens Richnow,CTO Ströer Labs NZ,adscale,Account Executive (AE) – eCommerce  (US Market),LinkedIn Jobs,https://www.linkedin.com/jobs/view/4363212969,https://www.linkedin.com/sales/lead/ACwAAAeLMxgB6Cr9LSBoujLDEKaYQ8P4GW2E8Jg
High,Barry Snyder,Founder/CEO Optimum Water Solutions,Optimum Water Solutions,Account Executive - B2B Sales,LinkedIn Jobs,https://www.linkedin.com/jobs/view/4387827340,https://www.linkedin.com/sales/lead/ACwAAAFKcXkB3wBjlIeMWhzDKrOjmuifdpyanxg
