Signal Match,Name,Designation,Company,Role Hiring For,Source Platform,Job Post URL,LinkedIn Profile URL
"High","Carl Madi","Co-Founder & CEO Stepful","Stepful","Go-To-Market Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4334172608","https://www.linkedin.com/sales/lead/ACwAAAVW1LUBKKseNhNx8KVnsOWLKIR2xA_fAyU"
"High","Tressia Hobeika","Co-Founder & Chief Product Officer Stepful","Stepful","Go-To-Market Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4334172608","https://www.linkedin.com/sales/lead/ACwAAAsMcfgBXLitGBwKNJQHUIm3JMI3ItTFSy8"
"High","Larry Castro","Founder Quantum AI EvoTech LTD","PGA TOUR","Associate Product Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4385092628","https://www.linkedin.com/sales/lead/ACwAAABZWXsBysKUZ7Zo8a0T9NnCfiBkilcopGM"
"High","Paul Armstrong","Founder TBD Group (prev Here/Forth)","OpenAI","AI Deployment Manager - Pilots - San Francisco","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387086760","https://www.linkedin.com/sales/lead/ACwAAAChwMQBXDGHIizYGcWApKFnyUqVzxlaqjQ"
"High","Dazza Greenwood","Founder and CEO CIVICS.com Consultancy Services","OpenAI","AI Deployment Manager - Pilots - San Francisco","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387086760","https://www.linkedin.com/sales/lead/ACwAAAAALeQBBrSu9RO0stMyqle5B4X2UdsOXBo"
"High","Jules Minvielle","CoFounder & Board Member Ogury","Ogury","Regional Go-To-Market Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4382405250","https://www.linkedin.com/sales/lead/ACwAAAF9XCAB582dJ94iLzu75Q4Jip4QsKaxmjg"
"High","Vincent A. Alessi","Founder Stealth AI Startup","Anthropic","Enterprise Account Executive, Federal Partners Sales","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388597024","https://www.linkedin.com/sales/lead/ACwAAAGslvwB0JAfFuhX8v-cFIlWyqHx95r7aos"
"High","Michelle May","Chairman/Founder MPM Enterprises LLC, dba Human Resource Connections","Princess Cruises","Senior Manager, eCommerce Product - Search","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4333171006","https://www.linkedin.com/sales/lead/ACwAAAPoGAMBqkXWyIA9ND1xQXaesCZbGyM2Q2U"
"High","Bilgin Yazar","Founder & CEO Vedubox","Zoom","Contact Center Account Executive","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4389444393","https://www.linkedin.com/sales/lead/ACwAAADdTHYBeo1gOO9PVCzWV6Ska3-CYlJYrSY"
"High","Yana Gifford","Founder, The Capacity Method™ | Rewiring Workplace Performance Through Human Capacity Coach With Yana","Axos Bank","AVP, Go-To-Market Operations Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4317227811","https://www.linkedin.com/sales/lead/ACwAAAMEiRABn4Cw8w8Fx6urygYmBV5T7NWucrA"
"High","Benjamin Powers","Founder & Chief Innovation Officer Visiting Media","Visiting Media","Go-to-Market (GTM) Enablement Manager","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4387974994","https://www.linkedin.com/sales/lead/ACwAAAfvufYBVxRwS8BrmbWyEeHm9bqGn6qxRm4"
"High","Jags Raghavan","Co-Founder Multipl","Cisco","Project Manager- Supply Chain Transformation (Hybrid)","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4389984708","https://www.linkedin.com/sales/lead/ACwAAADWjC0B2WonB2gZoWJRRQiVnMW15oMFicg"
"High","Jamie Beaton","CEO and Co-Founder Crimson Education","Crimson Education","Go To Market (GTM) Manager - Next Gen Counselor Workflow","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381009479","https://www.linkedin.com/sales/lead/ACwAAAtCtmUB5ED_QANNHV6WEPIT-fxzuxoWryM"
"High","Fangzhou Jiang","Co-Founder Crimson Education","Crimson Education","Go To Market (GTM) Manager - Next Gen Counselor Workflow","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4381009479","https://www.linkedin.com/sales/lead/ACwAABLyNGABvpbkp72IxsL-vXoauMCkueIC02k"
"High","isaac sevilla serur","CEO / Founder  Birdman Express","Birdman","Head of Brand Marketing","LinkedIn Jobs","https://www.linkedin.com/jobs/view/4388590394","https://www.linkedin.com/sales/lead/ACwAABIT8RkBguqwgHWV2TNb3etbGC7O-jfAoyk"
"High","Spero Panagakis","Co-Founder BB Social  Dining","Habibi's Lounge","Head of Experience & Growth","Indeed","https://www.indeed.com/viewjob?jk=5ef065efd7263944","https://www.linkedin.com/sales/lead/ACwAAASEG_UBtGvF0Mz2Wg6Fv336-DXbXliH2pA"
"High","Shabnum Stumpf","Founder PSBrandx Marketing Management LLC","Habibi's Lounge","Head of Experience & Growth","Indeed","https://www.indeed.com/viewjob?jk=5ef065efd7263944","https://www.linkedin.com/sales/lead/ACwAAANxVfkB3727MYvbwMfHxkmS4W16_24LXIw"
"High","Alexander Stumpf","Co-Founder & Chef BB Social  Dining","Habibi's Lounge","Head of Experience & Growth","Indeed","https://www.indeed.com/viewjob?jk=5ef065efd7263944","https://www.linkedin.com/sales/lead/ACwAAAFnSzcBq66uXG1TgPkoIzm7hH8u3ceyHGE"
"High","Amol Deshpande","Founder and CEO Frontera","Frontera","Head of Growth","Indeed","https://www.indeed.com/viewjob?jk=1b4803fc904f70c9","https://www.linkedin.com/sales/lead/ACwAAABAckoBROx_XwbehjHEeL5YSkfxCtslajQ"
